93.174.93.136 - - [05/Apr/2017:12:13:54 +0200] "GET /cache/global/img/gs.gif HTTP/1.1" 404 997
127.0.0.1 - - [05/Apr/2017:13:37:07 +0200] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [05/Apr/2017:13:37:21 +0200] "GET /ExaminationServer/examData/api/search HTTP/1.1" 200 28808
127.0.0.1 - - [05/Apr/2017:13:37:31 +0200] "GET /ExaminationServer/indexTemp.html HTTP/1.1" 304 -
127.0.0.1 - - [05/Apr/2017:13:37:40 +0200] "POST /ExaminationServer/examData/api/collection HTTP/1.1" 200 528
127.0.0.1 - - [05/Apr/2017:13:37:51 +0200] "POST /ExaminationServer/examData/api/collection HTTP/1.1" 200 1055
127.0.0.1 - - [05/Apr/2017:14:09:14 +0200] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [05/Apr/2017:14:09:53 +0200] "GET /ExaminationServer/indexTemp.html HTTP/1.1" 200 892
127.0.0.1 - - [05/Apr/2017:14:10:14 +0200] "GET /ExaminationServer/examData/api/search HTTP/1.1" 200 28808
127.0.0.1 - - [05/Apr/2017:14:10:39 +0200] "GET /ExaminationServer/indexTemp.html HTTP/1.1" 200 892
127.0.0.1 - - [05/Apr/2017:14:11:22 +0200] "GET /ExaminationServer/indexTemp.html HTTP/1.1" 304 -
127.0.0.1 - - [05/Apr/2017:14:11:26 +0200] "POST /ExaminationServer/examData/api/collection HTTP/1.1" 200 528
127.0.0.1 - - [05/Apr/2017:14:32:08 +0200] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [05/Apr/2017:14:32:11 +0200] "GET /ExaminationServer/indexTemp.html HTTP/1.1" 304 -
127.0.0.1 - - [05/Apr/2017:14:32:12 +0200] "GET /ExaminationServer/indexTemp.html HTTP/1.1" 304 -
127.0.0.1 - - [05/Apr/2017:14:32:23 +0200] "GET /ExaminationServer/indexTemp.html HTTP/1.1" 304 -
127.0.0.1 - - [05/Apr/2017:14:32:25 +0200] "GET /ExaminationServer/indexTemp.html HTTP/1.1" 200 892
127.0.0.1 - - [05/Apr/2017:14:32:56 +0200] "GET /ExaminationServer/indexTemp.html HTTP/1.1" 304 -
127.0.0.1 - - [05/Apr/2017:14:33:00 +0200] "GET /ExaminationServer/indexTemp.html HTTP/1.1" 304 -
127.0.0.1 - - [05/Apr/2017:14:33:11 +0200] "GET /ExaminationServer/indexTemp.html HTTP/1.1" 304 -
127.0.0.1 - - [05/Apr/2017:14:33:12 +0200] "GET /ExaminationServer/indexTemp.html HTTP/1.1" 304 -
127.0.0.1 - - [05/Apr/2017:14:33:27 +0200] "GET /ExaminationServer/indexTemp.html HTTP/1.1" 200 892
127.0.0.1 - - [05/Apr/2017:14:33:28 +0200] "GET /ExaminationServer/indexTemp.html HTTP/1.1" 200 892
127.0.0.1 - - [05/Apr/2017:14:33:46 +0200] "GET /ExaminationServer/indexTemp.html HTTP/1.1" 304 -
127.0.0.1 - - [05/Apr/2017:14:33:47 +0200] "GET /ExaminationServer/indexTemp.html HTTP/1.1" 304 -
127.0.0.1 - - [05/Apr/2017:14:33:48 +0200] "GET /ExaminationServer/indexTemp.html HTTP/1.1" 200 892
127.0.0.1 - - [05/Apr/2017:14:34:28 +0200] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [05/Apr/2017:14:34:31 +0200] "GET /ExaminationServer/indexTemp.html HTTP/1.1" 200 1453
127.0.0.1 - - [05/Apr/2017:14:37:39 +0200] "GET /ExaminationServer/indexTemp.html HTTP/1.1" 304 -
127.0.0.1 - - [05/Apr/2017:14:38:00 +0200] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [05/Apr/2017:14:38:10 +0200] "GET /ExaminationServer/indexTemp.html HTTP/1.1" 200 1456
127.0.0.1 - - [05/Apr/2017:14:39:27 +0200] "GET /ExaminationServer/indexTemp.html HTTP/1.1" 304 -
127.0.0.1 - - [05/Apr/2017:14:39:30 +0200] "GET /ExaminationServer/indexTemp.html HTTP/1.1" 304 -
127.0.0.1 - - [05/Apr/2017:14:39:49 +0200] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [05/Apr/2017:14:39:51 +0200] "GET /ExaminationServer/indexTemp.html HTTP/1.1" 200 1454
127.0.0.1 - - [05/Apr/2017:14:39:57 +0200] "GET /ExaminationServer/indexTemp.html HTTP/1.1" 304 -
127.0.0.1 - - [05/Apr/2017:14:41:36 +0200] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [05/Apr/2017:14:41:39 +0200] "GET /ExaminationServer/indexTemp.html HTTP/1.1" 200 1459
127.0.0.1 - - [05/Apr/2017:14:41:52 +0200] "POST /ExaminationServer/examData/api/addcollection HTTP/1.1" 500 8026
127.0.0.1 - - [05/Apr/2017:14:43:17 +0200] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [05/Apr/2017:14:43:24 +0200] "GET /ExaminationServer/indexTemp.html HTTP/1.1" 200 1459
127.0.0.1 - - [05/Apr/2017:14:43:33 +0200] "POST /ExaminationServer/examData/api/addcollection HTTP/1.1" 500 8041
127.0.0.1 - - [05/Apr/2017:14:45:41 +0200] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [05/Apr/2017:14:45:50 +0200] "GET /ExaminationServer/indexTemp.html HTTP/1.1" 200 1459
127.0.0.1 - - [05/Apr/2017:14:46:00 +0200] "POST /ExaminationServer/examData/api/addcollection HTTP/1.1" 500 7436
127.0.0.1 - - [05/Apr/2017:14:46:27 +0200] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [05/Apr/2017:14:46:32 +0200] "GET /ExaminationServer/indexTemp.html HTTP/1.1" 200 1459
127.0.0.1 - - [05/Apr/2017:14:46:42 +0200] "POST /ExaminationServer/examData/api/addcollection HTTP/1.1" 500 7961
127.0.0.1 - - [05/Apr/2017:14:48:18 +0200] "GET / HTTP/1.1" 404 951
